idLugar	FLAG_alandalus	nisba	major_toponym	nombre	nombre_castellano	lat	lng	idLugarALT
LUG01471	1	NA		منزل أبي هبيرة	* Manzil Abī Hubayra	37.471815	-4.433562	
LUG01509	1	NA		واسط قبرة	Wāsiṭ de Cabra	37.471815	-4.433562	
LUG00352	1	الأختياني		أختِيانة (قرية)	Uḫtiyāna (alquería)	37.471815	-4.433562	
LUG00230	1	القبري		قبرة	Cabra	37.471815	-4.433562	
LUG01550	0	المغيلي		مغيلة فاس	Mghila	33.7690946	-4.4619533	
LUG01328	1	القاستري		قاسترة / قاشتره / ناسترة / نشويرة / قاشرة	Castro del Río ?	37.691160000000004	-4.482695	
LUG00285	1	اليساني		اليسانة	Lucena	37.40564	-4.485322	
LUG00665	1	NA		القصير (حصن)	Alcocer (El Carpio)	37.933333	-4.5	
LUG01556	1	الأنتقيري		أنتقيرة	ِAntequera	37.018365	-4.559665	
LUG00435	1	السهيلي		سهيل	Fuengirola	36.544148	-4.6249439	
LUG00582	1	القرطمي		قرطمة	Cártama	36.711252	-4.630572	
LUG00789	1	المنشاوي		منشر / المنشاة [قرية من مالقة]	Osunillas ?	36.595556	-4.637222	
LUG01221	1	الذكواني		ذكوان (قرية)	Coín	36.659484	-4.753782	
LUG00495	1	NA		بلاط الحر	Balāṭ al-Ḥurr	37.883333	-4.766667	
LUG00154	1	NA		غدير بني ثعلبة	* Gadīr Banī Ṯaʿlaba	37.88818	-4.77938	
LUG00900	1	NA		مقبرة الكلاعي (قرطبة)	Cementerio de al-Kalāʿī	37.88818	-4.77938	
LUG01439	1	NA		منية المغيرة	Munyat al-Mugīra	37.88818	-4.77938	
LUG01423	1	NA		روضة الصلحاء	Rawḍat al-ṣulaḥāʾ	37.88818	-4.77938	
LUG01469	1	الخياطيني		منية الخياطين	Munyat al-Ḫayyāṭīn	37.88818	-4.77938	
LUG00649	1	الزجاجلي		مقبرة الزجاجلة (قرطبة)	Cementerio de los Zağğālíes	37.88818	-4.77938	
LUG01478	1	المغيثي		بلاط مغيث	Balāṭ Mugīṯ	37.9	-4.77938	
LUG01419	1	NA		مسجد يوسف بن بسيل	Mezquita de Yūsuf b. Basīl	37.8881751	-4.7793835	
LUG00004	1	القرطبي		قرطبة	Córdoba	37.8881751	-4.7793835	
