idNisba	nombre	nombre_castellano	cat1	gender	nombre_original
NIS00420	الكركي	NA	_NISBA_GEOGRAFICA	m	الكركي
NIS00537	الكزني	al-Kuznī	_NISBA_GEOGRAFICA	m	الكزني
NIS00305	اللاردي	al-Lāridī	_NISBA_GEOGRAFICA	m	اللاردي
NIS00610	اللبسي	al-Labassī	_NISBA_GEOGRAFICA	m	اللبسي
NIS00117	اللبلي	al-Lablī	_NISBA_GEOGRAFICA	m	اللبلي
NIS00461	اللري	al-Lirī	_NISBA_GEOGRAFICA	m	اللري
NIS00189	اللورقي	al-Lūrqī	_NISBA_GEOGRAFICA	m	اللورقي
NIS00053	اللوري	al-Lūrī	_NISBA_GEOGRAFICA	m	اللوري
NIS00090	اللوشي	al-Lawšī	_NISBA_GEOGRAFICA	m	اللوشي
NIS00640	اللوشي	al-Lawšiyya	_NISBA_GEOGRAFICA	f	اللوشية
NIS00287	الماردي	al-Māridī	_NISBA_GEOGRAFICA	m	الماردي
NIS00048	المالقي	al-Mālaqī	_NISBA_GEOGRAFICA	m	المالقي
NIS00380	المتيشي	al-Matīšī	_NISBA_GEOGRAFICA	m	المتيشي
NIS00176	المتيطي	al-Mattīṭī	_NISBA_GEOGRAFICA	m	المتيطي
NIS00087	المجريطي	al-Mağrītī	_NISBA_GEOGRAFICA	m	المجريطي
NIS00211	المدليني	al-Madallīnī	_NISBA_GEOGRAFICA	m	المدليني
NIS00533	المدني	al-Madanī	_NISBA_GEOGRAFICA	m	المدني
NIS00487	المديني	al-Madīnī	_NISBA_GEOGRAFICA	m	المديني
NIS00318	المراكشي	al-Marrākušī	_NISBA_GEOGRAFICA	m	المراكشي
NIS00465	المربيطري	al-Murbayṭarī	_NISBA_GEOGRAFICA	m	المربيطري
NIS00121	المرسي	al-Mursī	_NISBA_GEOGRAFICA	m	المرسي
NIS00089	المرشاني	al-Maršānī	_NISBA_GEOGRAFICA	m	المرشاني
NIS00511	المروزي	al-Marwāzī	_NISBA_GEOGRAFICA	m	المروزي
NIS00169	المري	al-Murrī	_NISBA_GEOGRAFICA	m	المري
NIS00500	المسيلي	al-Masīlī	_NISBA_GEOGRAFICA	m	المسيلي
NIS00276	المصري	al-Miṣrī	_NISBA_GEOGRAFICA	m	المصري
NIS00405	المطماطي	al-Maṭmāṭī	_NISBA_GEOGRAFICA	m	المطماطي
NIS00525	المغامي	al-Magāmī	_NISBA_GEOGRAFICA	m	المغامي
NIS00066	المغربي	al-Magribī	_NISBA_GEOGRAFICA	m	المغربي
NIS00627	المغرياني	al-Magrayānī	_NISBA_GEOGRAFICA	m	المغرياني
NIS00539	المقدسي	al-Maqdisī	_NISBA_GEOGRAFICA	m	المقدسي
NIS00165	المكناسي	al-Miknāsī	_NISBA_GEOGRAFICA	m	المكناسي
NIS00129	المكي	al-Makkī	_NISBA_GEOGRAFICA	m	المكي
NIS00313	الملاحي	al-Mallāḥī	_NISBA_GEOGRAFICA	m	الملاحي
NIS00464	الملياني	al-Miliānī	_NISBA_GEOGRAFICA	m	الملياني
NIS00111	المليلي	al-Malīlī	_NISBA_GEOGRAFICA	m	المليلي
NIS00137	المنتجيلي	al-Muntağīlī	_NISBA_GEOGRAFICA	m	المنتجيلي
NIS00390	المنتشوني	NA	_NISBA_GEOGRAFICA	m	المنتشوني
NIS00581	المنتوري	al-Muntawrī	_NISBA_GEOGRAFICA	m	المنتوري
NIS00644	المنجاني	al-Manǧānī	_NISBA_GEOGRAFICA	m	المنجاني
NIS00216	المنرقي	al-Minurqī	_NISBA_GEOGRAFICA	m	المنرقي
NIS00616	المنزلي	al-Manzilī	_NISBA_GEOGRAFICA	m	المنزلي
NIS00641	المنشري	al-Munšarī	_NISBA_GEOGRAFICA	m	المنشري
NIS00363	المنكبي	NA	_NISBA_GEOGRAFICA	m	المنكبي
NIS00560	المنيشي	NA	_NISBA_GEOGRAFICA	m	المنيشي
NIS00577	المنيي	al-Munyī 	_NISBA_GEOGRAFICA	m	المنيي
NIS00167	المهدوي	al-Mahdawī	_NISBA_GEOGRAFICA	m	المهدوي
NIS00160	الموروري	al-Mawrūrī	_NISBA_GEOGRAFICA	m	الموروري
NIS00501	الموري	al-Mawrī	_NISBA_GEOGRAFICA	m	الموري
NIS00036	الموصلي	al-Mawṣilī	_NISBA_GEOGRAFICA	m	الموصلي
NIS00432	المولي	al-Mūlī	_NISBA_GEOGRAFICA	m	المولي
NIS00166	الميورقي	al-Mayūrqī	_NISBA_GEOGRAFICA	m	الميورقي
NIS00384	النباهي	al-Nubāhī	_NISBA_GEOGRAFICA	m	النباهي
NIS00498	النسفي	NA	_NISBA_GEOGRAFICA	m	النسفي
NIS00397	النفزي	al-Nafzī	_NISBA_GEOGRAFICA	m	النفزي
NIS00419	النوالشي	al-Nawālišī	_NISBA_GEOGRAFICA	m	النوالشي
NIS00263	النيسابوري	al-Naysābūrī	_NISBA_GEOGRAFICA	m	النيسابوري
NIS00573	الهرقلي	al-Hiraqlī 	_NISBA_GEOGRAFICA	m	الهرقلي
NIS00183	الهمداني	al-Hamadānī	_NISBA_GEOGRAFICA	m	الهمداني
NIS00278	الهمذاني	al-Ḥamaḏānī	_NISBA_GEOGRAFICA	m	الهمذاني
NIS00222	الوادي آشي	al-Wādī Āšī	_NISBA_GEOGRAFICA	m	الوادي اشي
NIS00072	الوادي آشي	al-Wādī Āšī	_NISBA_GEOGRAFICA	m	الوادي آشي
NIS00235	الوادي آشي	al-Wādī Āšiyya	_NISBA_GEOGRAFICA	f	الوادي آشية
NIS00516	الواسطي	al-Wāsiṭī	_NISBA_GEOGRAFICA	m	الواسطي
NIS00289	الوجدي	NA	_NISBA_GEOGRAFICA	m	الوجدي
NIS00250	الوشقي	al-Wašqī	_NISBA_GEOGRAFICA	m	الوشقي
NIS00445	الوقشي	al-Waqqašī	_NISBA_GEOGRAFICA	m	الوقشي
NIS00496	الوهراني	al-Wahrānī	_NISBA_GEOGRAFICA	m	الوهراني
NIS00139	اليابري	al-Yāburī	_NISBA_GEOGRAFICA	m	اليابري
NIS00475	اليابسي	al-Yābisī	_NISBA_GEOGRAFICA	m	اليابسي
NIS00357	اليقوري	NA	_NISBA_GEOGRAFICA	m	اليقوري
NIS00442	اليماني	al-Yamānī	_NISBA_GEOGRAFICA	m	اليماني
NIS00225	الينشتي	NA	_NISBA_GEOGRAFICA	m	الينشتي
